feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
35.07,18.0,B,,Yes,8,12.99,0
35.12,5.0,C,1162.53,Yes,2,5.53,0
27.31,,C,983.9,No,4,61.62,0
29.87,52.0,C,489.41,No,8,23.52,1
27.45,69.0,A,1405.48,Yes,7,9.44,0
41.46,52.0,A,678.84,No,6,16.43,1
30.25,74.0,C,465.64,Yes,1,5.23,0
21.89,83.0,C,1113.27,Yes,8,4.68,0
24.98,73.0,A,159.59,Yes,9,10.81,0
,43.0,C,712.33,No,8,30.82,1
36.26,68.0,C,1267.4,Yes,9,43.38,1
32.63,41.0,C,670.57,No,2,8.12,1
30.85,22.0,B,1250.27,No,1,7.62,0
33.34,77.0,C,1199.58,Yes,5,55.57,0
32.23,60.0,B,1081.11,No,7,21.47,1
28.44,,B,668.09,Yes,2,,1
35.64,90.0,A,867.75,Yes,1,1.69,0
15.8,2.0,B,472.84,No,6,15.59,0
27.08,89.0,C,966.91,No,4,16.95,0
27.9,,A,1094.07,Yes,2,4.5,0
20.33,65.0,A,967.35,Yes,1,12.66,0
32.53,56.0,A,852.52,Yes,1,6.44,1
23.86,63.0,A,1147.83,Yes,6,30.82,0
32.96,52.0,C,453.5,No,3,0.87,0
26.81,7.0,C,1207.43,No,3,6.61,0
29.5,61.0,B,754.87,No,4,20.19,1
34.22,19.0,B,569.75,No,5,7.6,1
30.1,66.0,A,499.81,No,5,,0
35.66,81.0,C,828.65,No,6,46.16,0
25.81,95.0,C,731.12,No,1,1.1,0
28.6,80.0,B,780.73,Yes,6,16.24,0
26.95,51.0,A,,Yes,7,5.36,0
27.53,66.0,B,1390.92,No,3,4.28,1
34.35,70.0,A,895.67,No,9,39.24,0
25.5,84.0,B,903.57,No,4,61.9,1
34.71,71.0,B,1220.33,No,3,76.74,1
29.73,44.0,B,574.05,No,7,,0
26.39,,C,1258.66,Yes,1,9.41,1
21.86,37.0,B,848.6,No,3,6.35,0
26.6,5.0,A,1417.27,No,1,26.15,1
30.95,33.0,C,1109.39,No,6,2.06,1
23.88,29.0,A,1364.87,No,1,9.83,0
31.04,,A,913.97,No,4,1.08,1
31.08,11.0,C,-100.25,Yes,3,3.96,0
31.61,56.0,B,1803.67,Yes,1,15.19,1
24.02,10.0,B,546.32,Yes,3,2.09,1
34.76,6.0,A,641.3,Yes,6,7.74,0
27.89,42.0,B,1234.69,Yes,8,83.85,0
35.72,1.0,C,871.41,Yes,4,73.33,0
21.7,1.0,C,825.03,No,5,1.03,1
36.55,49.0,B,1041.74,No,5,17.83,0
30.32,29.0,A,1015.42,No,2,,0
31.3,21.0,A,777.36,No,7,61.03,0
30.72,,C,1558.75,No,1,26.64,0
42.22,82.0,B,901.47,Yes,1,,0
27.12,75.0,A,1235.66,No,5,5.06,0
25.12,97.0,C,1179.21,No,8,27.47,1
37.87,69.0,A,1113.14,No,1,317.4,0
32.83,32.0,A,1177.74,No,5,31.67,0
31.61,11.0,C,1046.73,Yes,5,19.13,0
32.5,19.0,C,1417.33,No,8,3.46,1
24.06,44.0,A,,No,3,6.89,0
25.91,52.0,B,509.52,Yes,3,9.18,1
21.63,32.0,B,854.94,No,3,43.6,1
23.82,33.0,A,1208.07,No,3,10.46,0
32.55,24.0,C,1045.77,Yes,4,25.51,1
,44.0,C,521.94,No,4,42.37,0
27.52,87.0,B,908.96,Yes,7,1.76,1
39.06,87.0,C,8994.6,Yes,3,18.06,1
26.8,87.0,A,1203.49,Yes,8,5.34,1
30.24,15.0,A,1003.26,No,8,2.15,0
33.35,87.0,C,1086.5,Yes,8,33.88,0
29.26,28.0,A,1339.41,No,8,11.5,1
27.11,63.0,A,1226.08,No,2,14.0,1
26.7,60.0,B,847.85,No,2,,0
,85.0,C,738.31,No,3,23.84,1
25.68,18.0,B,1273.55,Yes,4,7.64,0
31.36,62.0,B,,No,2,7.76,1
40.98,,C,624.34,Yes,3,20.44,0
35.09,0.0,A,843.96,Yes,6,49.09,0
33.79,37.0,A,849.51,Yes,3,36.85,1
20.35,99.0,A,1192.98,Yes,1,26.26,1
32.09,57.0,B,843.11,Yes,3,2.03,0
32.55,30.0,B,1397.28,Yes,1,25.33,1
30.1,11.0,B,573.15,No,9,0.52,0
34.94,80.0,A,384.26,Yes,2,40.8,1
30.71,71.0,C,784.41,No,4,14.57,1
31.99,90.0,B,1074.73,No,1,9.23,0
34.61,72.0,C,996.3,No,9,37.93,1
31.55,90.0,B,930.47,No,2,13.19,0
25.7,94.0,B,931.11,No,7,4.08,1
25.62,74.0,B,1432.63,No,1,29.93,1
34.69,53.0,C,1019.27,Yes,4,,0
41.62,49.0,A,561.58,No,4,63.56,1
34.81,,B,,No,6,23.95,1
32.48,50.0,C,1126.54,Yes,5,3.24,0
28.46,64.0,A,885.06,Yes,8,6.73,0
21.32,79.0,B,1178.63,Yes,2,7.81,0
29.34,83.0,C,680.43,Yes,1,1.67,1
22.11,33.0,B,1102.58,Yes,8,72.33,0
30.85,93.0,C,1140.65,Yes,8,1.0,1
25.27,18.0,B,343.73,Yes,7,15.81,0
38.01,72.0,B,1519.51,No,3,3.2,1
,47.0,B,970.01,No,7,64.61,1
,69.0,A,425.47,Yes,9,99.56,1
39.28,63.0,A,1122.4,No,5,,1
26.27,49.0,B,1352.03,Yes,2,18.81,0
25.54,55.0,C,958.55,No,9,24.91,0
29.97,17.0,C,625.86,Yes,4,15.3,0
38.94,5.0,A,,Yes,2,2.43,0
,15.0,A,11373.0,Yes,7,8.64,1
28.44,95.0,B,1063.54,No,9,11.49,1
32.7,80.0,A,1541.19,Yes,8,47.4,1
36.54,49.0,C,1088.37,No,4,74.75,1
31.79,90.0,B,955.56,No,7,471.75,0
32.69,19.0,C,738.36,No,8,5.39,1
,28.0,B,673.14,Yes,6,18.22,1
24.18,18.0,A,1032.38,Yes,5,28.93,1
29.99,25.0,B,,No,9,7.4,0
33.54,43.0,A,1344.53,Yes,9,32.76,1
29.2,58.0,A,1293.26,No,2,17.84,0
24.26,4.0,C,421.06,No,2,7.69,1
32.09,83.0,A,,Yes,6,26.97,0
25.13,80.0,C,1471.08,Yes,3,3.2,0
33.39,95.0,A,820.2,Yes,4,,0
32.2,76.0,B,659.0,No,5,15.32,0
32.01,11.0,B,904.2,No,9,63.46,1
27.61,26.0,A,886.77,No,3,22.45,1
35.58,15.0,A,776.9,Yes,6,179.4,0
28.08,76.0,B,753.06,Yes,1,19.69,1
23.72,51.0,B,1153.95,No,6,14.92,1
28.79,74.0,C,1333.16,Yes,5,1.21,1
29.86,24.0,C,1029.91,No,6,6.49,0
28.45,21.0,C,859.68,Yes,9,36.86,0
26.68,6.0,C,919.07,Yes,7,42.09,1
24.81,17.0,B,1014.97,No,8,24.83,0
26.56,30.0,A,957.92,Yes,9,12.22,1
23.63,40.0,C,504.75,No,4,9.48,1
30.87,51.0,C,1234.93,Yes,2,17.81,0
33.11,11.0,C,,No,7,34.82,1
25.55,72.0,C,1743.32,Yes,1,8.65,0
32.02,6.0,A,1306.05,Yes,5,9.52,0
25.31,54.0,B,1047.12,Yes,4,48.12,1
33.45,21.0,C,1188.65,No,5,0.71,1
35.21,57.0,C,1038.14,No,3,30.62,0
32.33,55.0,A,868.64,No,5,11.03,0
20.33,82.0,C,1015.76,Yes,1,33.59,0
,39.0,C,1227.53,Yes,3,5.33,1
29.8,51.0,A,662.37,No,9,1.89,0
25.95,11.0,A,1132.25,No,7,26.15,0
,73.0,C,1063.06,No,3,10.75,0
36.63,14.0,A,1237.11,No,4,3.48,0
28.82,89.0,A,1055.58,No,4,29.05,0
40.13,,B,1218.9,No,4,35.59,0
30.44,86.0,A,1513.22,No,3,5.72,1
32.53,97.0,C,,Yes,9,27.3,1
37.91,69.0,B,1226.73,No,6,13.38,1
33.73,42.0,C,720.7,Yes,8,3.86,1
36.22,32.0,B,1266.89,No,1,38.45,1
33.95,66.0,A,1210.5,No,9,29.63,0
28.89,15.0,A,955.65,Yes,3,3.42,0
24.2,86.0,C,934.86,Yes,5,12.72,0
36.71,71.0,B,1061.18,Yes,1,31.62,0
33.52,95.0,A,946.48,No,8,65.57,0
29.96,,B,956.12,Yes,2,11.6,1
29.27,34.0,C,704.21,Yes,3,9.91,0
27.71,5.0,C,861.54,Yes,6,,0
19.23,30.0,C,990.76,Yes,6,96.79,1
26.04,29.0,B,,No,1,,1
22.33,88.0,C,278.33,Yes,3,24.88,0
32.11,61.0,C,794.82,No,7,25.75,0
33.55,4.0,B,,Yes,7,2.32,0
32.55,89.0,B,1172.77,Yes,3,34.27,0
19.24,23.0,C,1274.12,No,1,32.52,1
32.46,26.0,A,736.07,No,9,34.75,1
29.59,81.0,B,,Yes,3,6.28,0
29.18,38.0,C,1086.88,No,4,9.6,0
30.63,,C,619.66,Yes,4,16.84,0
31.97,63.0,C,1378.66,No,7,60.64,1
31.35,52.0,B,664.68,No,1,11.75,0
40.27,52.0,A,1052.28,No,1,7.65,1
32.96,51.0,C,1281.8,Yes,9,23.71,0
29.15,60.0,A,816.22,Yes,4,6.33,0
24.95,89.0,A,772.73,No,5,5.73,1
24.59,7.0,A,1007.63,No,5,34.29,0
31.23,81.0,B,1210.94,Yes,4,16.0,1
33.81,,C,,Yes,5,5.34,0
29.84,66.0,C,828.85,No,7,18.11,0
25.93,56.0,A,1582.68,No,6,0.58,0
29.18,47.0,B,1137.6,No,7,34.92,0
30.69,34.0,C,1016.27,No,4,35.65,0
23.68,10.0,B,,No,7,2.5,0
30.44,39.0,C,857.53,Yes,2,3.92,1
36.88,65.0,C,932.81,No,9,16.47,1
25.91,45.0,C,1071.59,Yes,8,40.59,0
23.89,,B,,No,3,44.32,0
28.42,8.0,B,1036.21,No,6,109.16,1
20.89,48.0,C,660.32,No,9,0.23,0
33.28,67.0,A,500.08,Yes,1,8.16,0
28.0,16.0,A,654.73,No,6,4.47,0
28.99,,A,1448.56,No,5,26.69,0
35.56,4.0,A,965.4,Yes,8,18.29,0
21.91,34.0,C,415.99,No,6,11.68,0
22.36,10.0,C,929.31,No,7,59.99,1
33.21,31.0,B,1081.09,Yes,8,0.41,0
34.52,54.0,C,1237.13,No,8,43.11,1
27.01,25.0,A,1375.09,Yes,2,4.25,1
18.92,46.0,B,1128.25,Yes,9,0.88,0
36.47,99.0,B,1296.15,No,7,6.57,1
29.12,,B,729.29,Yes,8,2.47,0
37.4,43.0,A,424.23,No,3,11.3,1
41.77,67.0,B,723.57,No,4,2.54,1
25.41,95.0,B,928.8,No,8,20.08,1
25.45,17.0,C,1528.99,No,5,1.82,0
18.29,18.0,B,1021.73,No,8,18.97,0
25.93,92.0,B,1086.28,No,4,1.94,0
25.83,98.0,C,651.12,No,9,13.49,0
33.12,9.0,B,1077.74,Yes,8,55.74,0
29.67,77.0,A,1151.29,Yes,6,24.84,0
33.84,81.0,B,998.77,Yes,7,112.5,0
28.88,5.0,B,817.48,No,5,9.8,1
31.67,55.0,B,1238.78,Yes,8,11.91,1
24.68,57.0,B,1244.57,No,3,6.19,0
29.32,50.0,A,1491.82,Yes,1,13.88,0
40.07,4.0,A,1039.31,No,4,30.77,0
33.86,64.0,B,775.87,No,8,17.56,0
30.49,2.0,C,1114.57,No,8,24.78,1
23.81,82.0,B,545.02,No,5,11.82,0
26.91,24.0,A,483.02,No,3,50.43,1
36.61,22.0,B,787.19,No,8,3.01,0
31.34,57.0,C,493.66,Yes,4,1.08,0
33.25,96.0,C,1188.21,Yes,3,2.21,0
27.23,86.0,C,336.73,No,8,5.73,0
,39.0,C,1052.69,Yes,7,8.51,0
,10.0,B,276.23,No,1,7.35,1
34.08,29.0,B,1039.88,No,8,6.99,1
27.11,53.0,C,1246.05,No,2,43.91,1
23.38,54.0,A,1199.75,Yes,7,9.3,1
32.36,43.0,A,1264.89,No,8,6.89,0
29.8,32.0,A,1314.7,No,4,21.58,1
,45.0,B,634.52,No,6,6.85,0
33.63,77.0,C,1033.2,No,8,9.27,0
30.41,71.0,A,1081.83,No,7,36.38,1
28.31,1.0,B,605.22,No,6,15.53,1
39.63,72.0,B,1221.11,No,7,1.63,1
28.77,91.0,A,975.04,Yes,3,5.36,0
38.18,61.0,B,1409.42,No,9,44.45,1
36.3,71.0,B,1293.63,No,2,11.84,1
26.09,49.0,C,494.82,Yes,6,58.07,0
25.96,85.0,B,,Yes,3,7.77,1
31.28,,C,,No,7,6.34,0
38.07,2.0,B,950.08,Yes,8,29.82,0
35.98,,B,1374.0,No,3,27.11,1
26.94,75.0,A,821.97,No,2,13.48,1
33.37,65.0,A,1856.54,Yes,2,19.44,0
40.62,68.0,C,802.18,No,9,9.0,1
34.57,24.0,B,787.76,Yes,4,5.44,0
24.75,83.0,A,1078.28,No,6,12.07,1
28.35,62.0,A,695.16,Yes,1,,1
30.1,80.0,C,989.29,Yes,1,6.36,0
,86.0,A,806.65,Yes,9,349.8,0
25.93,33.0,B,1133.15,No,8,1.25,1
,46.0,C,1031.74,Yes,1,38.96,1
31.06,84.0,C,664.21,Yes,3,0.25,1
31.84,48.0,A,991.55,Yes,1,165.15,0
26.72,5.0,B,1041.26,Yes,5,4.27,1
30.46,48.0,A,945.24,No,9,11.41,1
32.24,69.0,C,1255.8,No,2,219.60000000000002,0
38.76,,A,969.06,Yes,6,,1
32.43,81.0,C,1321.99,Yes,7,19.13,1
38.48,25.0,A,44.04,Yes,8,33.89,0
29.65,84.0,C,963.91,No,7,17.53,1
30.44,85.0,A,990.86,No,9,22.65,1
,47.0,A,1097.21,No,1,23.32,1
19.24,47.0,C,810.56,Yes,6,4.44,0
28.18,95.0,A,1111.05,No,7,,0
36.97,68.0,B,850.8,Yes,8,,0
32.43,66.0,A,661.19,No,6,32.45,0
29.19,,A,844.16,Yes,4,23.13,1
20.77,96.0,B,967.61,Yes,8,1.76,1
28.92,77.0,B,904.79,Yes,2,6.63,0
24.15,48.0,C,1550.55,Yes,8,43.01,1
26.06,34.0,A,710.05,Yes,7,11.24,0
36.15,4.0,C,1255.97,Yes,8,21.13,0
22.08,59.0,C,1430.2,Yes,2,14.4,1
24.26,11.0,A,1376.44,No,8,,0
33.26,36.0,C,754.42,Yes,5,30.82,0
30.94,78.0,B,900.9,Yes,3,32.52,1
19.87,92.0,B,931.82,No,4,1.68,0
33.48,58.0,A,1308.23,Yes,5,5.05,0
24.0,29.0,A,848.59,Yes,8,3.08,1
29.35,89.0,C,1404.89,Yes,8,12.81,1
26.69,91.0,B,614.71,No,4,20.44,0
22.52,9.0,A,386.27,No,1,22.61,0
28.6,1.0,A,1191.1,Yes,9,3.53,0
42.01,9.0,A,1133.6,Yes,9,112.11,1
33.11,17.0,C,1350.92,Yes,9,14.27,0
15.02,25.0,B,1414.08,Yes,3,53.81,0
27.66,19.0,A,997.72,Yes,3,0.45,0
27.36,,A,1151.58,Yes,4,49.54,0
,,B,1159.95,Yes,5,28.22,0
31.1,87.0,A,1134.26,No,7,0.98,1
29.79,86.0,A,933.02,Yes,1,8.25,1
25.95,33.0,A,674.79,Yes,5,67.57,0
29.39,33.0,A,725.32,Yes,5,20.3,0
39.54,7.0,A,919.44,No,5,16.68,0
29.68,21.0,B,935.87,Yes,6,84.63,0
29.17,78.0,A,1391.74,No,6,77.53,0
34.59,4.0,B,954.91,No,1,53.26,0
40.04,,A,1060.37,Yes,9,12.04,0
25.39,99.0,B,1008.48,No,3,18.95,1
26.89,77.0,B,1100.46,No,8,7.39,0
29.29,16.0,C,1036.22,Yes,1,1.72,0
33.89,86.0,C,1140.6,Yes,8,22.33,1
31.78,58.0,A,1608.56,Yes,8,32.11,1
23.68,60.0,A,1038.94,Yes,3,4.27,0
21.12,91.0,A,1177.48,Yes,1,4.9,1
30.59,71.0,B,649.16,No,4,13.62,0
30.15,94.0,A,761.78,Yes,4,38.47,0
26.66,85.0,C,1084.58,Yes,7,14.38,0
28.16,55.0,A,1181.85,Yes,1,0.17,1
26.01,97.0,A,1430.67,No,2,51.92,1
27.45,97.0,B,1077.56,Yes,3,31.64,0
26.87,51.0,A,725.93,No,4,16.11,0
34.79,17.0,C,621.56,No,1,1.26,1
38.35,75.0,C,,No,7,9.84,1
26.99,82.0,C,1122.3,No,8,71.43,0
32.05,73.0,A,1312.45,Yes,5,25.04,0
32.63,63.0,B,1412.45,No,2,3.87,0
31.34,75.0,B,661.23,No,9,,1
30.26,89.0,A,1485.37,Yes,2,33.14,0
,65.0,A,1246.53,Yes,5,0.41,1
35.61,,A,929.4,No,7,35.34,0
22.18,,B,906.77,No,9,2.9,0
34.41,85.0,A,1098.9,Yes,9,0.34,1
30.9,68.0,B,965.56,No,3,25.28,0
25.86,91.0,A,622.04,No,8,29.87,0
28.35,20.0,B,1018.8,Yes,7,8.83,1
24.76,90.0,A,978.97,Yes,6,30.15,1
24.26,13.0,B,1193.72,No,6,2.48,1
38.65,58.0,C,,Yes,2,14.2,0
31.01,70.0,A,1143.87,No,4,19.79,1
29.73,35.0,B,334.7,No,1,26.42,1
31.16,95.0,A,1336.38,Yes,7,7.96,1
35.77,25.0,C,462.64,Yes,3,6.0,0
30.3,,B,1378.62,Yes,7,36.1,0
33.86,64.0,B,1212.84,Yes,3,7.77,1
24.65,53.0,A,1405.28,No,7,14.81,1
29.55,44.0,C,1005.8,No,3,17.27,0
30.3,90.0,C,777.31,Yes,6,23.31,0
33.35,55.0,C,1585.61,Yes,7,2.74,1
27.15,3.0,B,561.45,No,1,9.68,1
37.12,,B,787.05,Yes,8,15.46,0
30.31,40.0,C,824.3,Yes,4,89.12,1
24.03,6.0,C,1173.15,No,4,17.57,0
33.37,63.0,B,999.05,Yes,5,17.27,0
25.24,77.0,A,984.72,Yes,8,20.75,1
30.52,81.0,C,643.1,No,1,19.34,0
33.09,81.0,A,562.94,No,7,0.15,0
29.49,26.0,A,1029.5,Yes,1,11.2,0
25.13,75.0,B,1123.82,Yes,3,8.55,0
33.05,96.0,B,1479.1,No,6,12.45,0
23.04,23.0,B,762.36,Yes,1,3.31,0
36.41,88.0,A,869.61,No,5,4.6,0
22.59,32.0,A,1089.74,No,1,51.24,1
31.79,56.0,B,1386.45,No,6,2.8,0
24.91,60.0,B,763.4,Yes,3,0.05,1
26.78,63.0,B,708.62,No,1,5.55,1
28.98,86.0,B,682.45,Yes,7,33.79,0
27.06,6.0,C,700.35,Yes,7,5.35,0
39.44,23.0,B,836.17,Yes,6,3.53,0
22.89,10.0,C,933.61,Yes,4,17.62,0
29.38,32.0,A,815.04,Yes,6,,0
18.85,40.0,C,903.26,Yes,9,19.29,0
37.33,91.0,C,999.72,No,4,5.14,0
28.97,23.0,C,656.08,Yes,9,14.43,0
,61.0,C,965.32,Yes,9,13.74,1
30.78,68.0,B,942.54,Yes,6,3.93,0
22.45,,C,1000.73,No,4,6.48,1
30.82,27.0,B,767.61,No,4,0.83,0
26.04,43.0,A,1034.22,No,5,6.14,0
36.12,65.0,A,1199.71,Yes,1,2.36,1
,98.0,A,1399.17,Yes,5,14.05,0
34.23,28.0,C,860.12,No,8,15.13,0
35.97,73.0,A,1009.06,No,3,21.15,0
38.51,52.0,A,1092.17,Yes,8,36.45,1
41.89,32.0,A,1475.32,No,1,17.78,1
25.93,,C,1090.58,No,7,29.16,0
32.23,12.0,C,,No,1,,1
29.69,79.0,C,802.27,No,1,3.43,0
23.66,90.0,B,488.98,No,6,,0
39.48,84.0,C,869.25,Yes,9,0.23,0
31.41,26.0,C,792.8,No,6,20.84,0
31.69,55.0,B,959.98,Yes,9,15.93,0
37.0,93.0,A,,No,4,36.93,1
34.73,25.0,A,1061.52,No,6,15.39,0
29.39,36.0,A,452.22,Yes,2,7.59,0
33.25,76.0,B,753.66,No,3,9.63,0
25.29,41.0,B,685.12,Yes,6,2.44,0
24.02,70.0,A,980.66,Yes,2,3.45,0
29.71,81.0,C,605.39,No,6,88.85,0
32.4,94.0,A,857.68,Yes,1,25.39,1
,26.0,C,1247.38,No,4,27.22,1
37.94,86.0,A,1073.51,Yes,3,7.93,0
28.87,24.0,A,1386.49,Yes,2,9.26,0
29.91,67.0,A,1264.12,Yes,4,10.7,1
28.95,12.0,C,1264.35,No,7,2.09,1
21.49,80.0,C,727.84,Yes,7,48.31,1
30.0,14.0,C,769.8,Yes,7,11.95,1
21.23,70.0,C,1073.27,Yes,7,48.67,0
25.31,,C,623.01,No,5,31.45,1
24.57,87.0,B,1167.81,Yes,4,9.71,0
31.27,97.0,C,873.18,No,9,59.28,1
33.33,23.0,A,1129.31,No,8,8.64,0
26.94,59.0,A,1015.95,No,1,35.48,0
34.38,69.0,B,1343.42,Yes,4,47.21,1
29.17,15.0,C,1080.29,Yes,9,66.09,0
,55.0,B,,No,3,15.18,0
30.86,51.0,C,1061.31,No,3,27.37,0
26.97,65.0,B,438.45,No,7,,0
26.69,7.0,B,815.31,Yes,2,8.01,0
34.54,21.0,B,776.66,Yes,9,4.26,0
26.22,95.0,B,,Yes,1,16.84,0
33.8,36.0,B,850.77,Yes,7,,1
33.8,12.0,C,791.85,No,8,30.67,1
30.45,31.0,C,850.78,No,7,8.61,1
31.97,79.0,C,803.32,Yes,1,0.54,1
34.55,17.0,A,934.37,No,1,1.63,1
35.46,11.0,C,1324.25,Yes,4,,1
,44.0,C,,No,7,6.59,0
36.61,58.0,C,1051.03,Yes,9,4.32,0
24.8,23.0,C,1213.32,Yes,9,8.88,1
25.66,0.0,B,841.92,No,3,3.72,1
36.05,68.0,A,1120.93,No,9,6.74,0
20.38,80.0,A,1038.63,No,3,11.69,0
34.1,1.0,B,1142.97,Yes,6,57.28,1
33.52,73.0,B,739.89,Yes,3,26.19,1
31.4,96.0,C,1287.23,Yes,8,23.24,1
32.68,64.0,C,1143.87,Yes,5,55.98,0
29.87,89.0,A,528.21,No,1,8.34,0
35.52,12.0,B,1043.18,No,2,44.33,0
39.96,92.0,C,995.93,No,6,6.79,0
28.47,31.0,A,770.12,Yes,2,27.85,1
40.25,27.0,B,359.84,No,5,,0
30.04,64.0,A,1299.81,Yes,8,54.88,0
31.78,82.0,A,807.82,Yes,4,9.95,0
25.57,91.0,C,549.86,No,8,60.56,0
26.47,72.0,A,924.47,Yes,5,1.84,1
20.23,72.0,C,10351.0,No,3,80.55,1
34.74,4.0,C,1285.77,No,4,14.74,0
,94.0,B,1074.42,Yes,9,12.8,0
36.92,98.0,C,979.6,Yes,2,43.22,1
27.82,87.0,A,694.9,Yes,8,16.19,0
33.21,50.0,C,394.41,Yes,6,1.72,0
33.13,84.0,C,1160.69,Yes,6,20.28,0
32.63,79.0,A,859.03,Yes,3,12.61,0
26.98,38.0,A,128.31,Yes,4,17.82,1
33.35,58.0,A,922.47,Yes,5,1.07,0
26.5,18.0,A,926.86,Yes,5,6.19,1
34.15,20.0,B,1239.91,Yes,8,11.84,0
32.74,58.0,A,1082.1,No,2,25.02,0
30.15,1.0,B,1273.34,No,9,25.44,1
33.71,89.0,B,711.32,Yes,9,0.44,0
30.74,80.0,C,323.2,Yes,5,18.99,0
34.49,10.0,A,1603.38,No,7,11.25,0
31.27,62.0,B,1262.82,Yes,3,23.62,0
27.33,12.0,B,1342.54,Yes,2,9.59,1
22.56,1.0,A,1205.73,Yes,9,5.68,0
26.45,,C,1452.74,No,2,10.37,0
28.1,11.0,B,706.61,Yes,5,3.12,0
37.24,45.0,A,1066.08,Yes,2,9.37,0
28.05,49.0,B,858.09,Yes,9,4.05,0
25.36,55.0,A,1105.25,Yes,4,0.35,1
25.78,52.0,B,1222.29,Yes,2,,1
35.42,80.0,B,924.25,No,3,14.7,0
31.66,68.0,C,576.96,Yes,7,7.42,1
,60.0,C,796.42,No,6,65.52,0
41.17,68.0,B,790.98,No,6,14.25,0
25.01,98.0,B,629.09,No,8,1.05,0
,99.0,B,1142.31,Yes,6,14.23,0
30.94,91.0,A,940.15,No,6,26.09,0
27.79,89.0,B,1613.38,No,1,38.23,0
24.3,,B,676.91,No,9,25.75,1
19.6,73.0,C,1120.2,No,2,4.32,0
34.62,79.0,C,671.46,Yes,4,,0
32.77,36.0,A,1283.91,No,9,50.62,1
35.84,80.0,C,969.5,Yes,1,,0
29.4,44.0,A,1711.89,Yes,6,19.85,0
36.22,39.0,C,980.27,No,4,5.55,0
36.1,98.0,C,1104.76,No,9,31.87,0
35.84,82.0,C,1250.2,Yes,5,23.03,0
29.94,36.0,B,1189.11,No,6,1.71,0
35.76,19.0,A,904.41,No,5,2.99,0
29.11,27.0,C,877.1,No,2,82.47,0
23.87,59.0,C,801.88,No,7,40.94,1
27.69,25.0,C,1133.11,No,6,12.83,1
30.74,73.0,B,1202.84,Yes,7,5.73,0
30.04,41.0,B,1095.94,Yes,8,34.62,1
27.47,97.0,B,1280.52,No,4,4.62,0
30.28,54.0,A,1048.48,Yes,7,7.96,0
28.03,60.0,A,1132.38,No,7,14.26,0
26.43,39.0,C,337.73,Yes,4,57.17,0
31.78,38.0,A,,No,9,2.11,0
30.89,75.0,B,1061.16,Yes,2,2.82,0
36.07,45.0,B,344.67,No,2,26.25,0
35.57,65.0,B,1072.78,Yes,7,55.47,1
22.87,87.0,C,1098.57,No,9,,0
34.96,46.0,A,1286.85,No,7,,1
39.19,49.0,C,1382.01,No,2,10.86,0
32.58,44.0,C,1225.18,Yes,9,1.02,1
29.46,,A,978.84,Yes,3,4.59,0
28.32,29.0,A,903.89,No,6,1.31,0
32.87,96.0,A,750.11,No,9,4.92,1
,,A,1224.18,No,4,9.69,1
29.74,70.0,A,1321.35,Yes,4,8.08,0
39.51,79.0,B,909.65,Yes,2,1.6,0
36.52,26.0,C,,No,8,26.54,0
38.27,70.0,B,713.45,Yes,2,23.61,1
26.96,19.0,C,1356.64,No,3,3.82,0
36.14,69.0,A,694.35,No,8,375.3,0
31.58,24.0,A,1018.66,No,1,51.62,0
31.61,60.0,A,1260.81,Yes,1,15.25,1
,82.0,C,679.02,Yes,4,12.12,1
31.24,99.0,A,1084.29,Yes,1,6.57,0
26.5,13.0,B,781.59,Yes,9,15.5,1
29.64,1.0,B,407.52,No,3,7.71,1
33.45,7.0,C,797.93,Yes,5,37.34,1
28.83,79.0,C,,No,1,5.3,0
31.29,39.0,C,914.87,Yes,3,9.87,1
33.74,36.0,C,775.9,No,6,48.61,0
37.99,10.0,A,930.27,No,1,5.82,0
18.69,14.0,C,,No,7,1.28,0
28.78,21.0,C,1115.94,Yes,8,10.92,1
30.01,4.0,C,832.22,Yes,5,0.15,0
32.55,16.0,C,1392.19,No,1,35.77,0
29.84,77.0,C,1104.96,Yes,6,6.77,1
29.54,71.0,B,1282.76,No,1,23.51,0
37.39,13.0,B,865.22,No,7,137.55,0
27.41,33.0,C,978.74,No,9,82.27,0
29.8,,A,645.43,Yes,7,3.42,0
25.11,82.0,A,1517.8,Yes,2,46.0,1
46.08,75.0,B,980.94,Yes,2,9.87,0
28.94,77.0,B,668.0,Yes,4,20.44,0
,,C,1631.65,No,1,8.48,0
33.8,,A,1127.01,Yes,1,66.38,0
31.51,21.0,A,1823.2,Yes,2,2.71,1
36.33,58.0,C,1208.12,No,1,5.36,1
30.17,70.0,C,1193.46,Yes,8,3.9,1
26.98,,A,881.1,Yes,4,,0
37.47,72.0,C,618.6,Yes,3,8.8,0
33.38,14.0,C,882.81,No,5,17.09,1
21.3,74.0,C,1103.02,No,4,2.19,0
23.69,86.0,A,804.66,No,7,4.98,1
24.74,8.0,A,987.1,Yes,3,45.79,0
38.62,44.0,B,1057.6,No,9,65.73,0
30.03,40.0,A,95.16,Yes,8,10.19,0
26.66,40.0,A,892.98,Yes,9,31.78,0
33.53,63.0,C,1063.17,No,7,0.54,0
30.11,8.0,A,887.27,Yes,5,11.2,0
22.41,28.0,B,,Yes,9,18.13,0
26.12,15.0,B,13932.7,No,9,26.35,0
27.52,63.0,C,383.4,Yes,5,37.74,1
